,ds,y
1462,2020-04-21 20:30:00,22
1463,2020-04-21 21:00:00,23
1464,2020-04-22 08:00:00,60
1465,2020-04-22 08:30:00,103
1466,2020-04-22 09:00:00,149
1467,2020-04-22 09:30:00,127
1468,2020-04-22 10:00:00,158
1469,2020-04-22 10:30:00,149
1470,2020-04-22 11:00:00,129
1471,2020-04-22 11:30:00,150
1472,2020-04-22 12:00:00,182
1473,2020-04-22 12:30:00,234
1474,2020-04-22 13:00:00,299
1475,2020-04-22 13:30:00,108
1476,2020-04-22 14:00:00,225
1477,2020-04-22 14:30:00,139
1478,2020-04-22 15:00:00,125
1479,2020-04-22 15:30:00,226
1480,2020-04-22 16:00:00,207
1481,2020-04-22 16:30:00,508
1482,2020-04-22 17:00:00,491
1483,2020-04-22 17:30:00,310
1484,2020-04-22 18:00:00,330
1485,2020-04-22 18:30:00,336
1486,2020-04-22 19:00:00,214
1487,2020-04-22 19:30:00,173
1488,2020-04-22 20:00:00,106
1489,2020-04-22 20:30:00,74
1490,2020-04-22 21:00:00,37
1491,2020-04-23 07:30:00,1
1492,2020-04-23 08:00:00,167
1493,2020-04-23 08:30:00,183
1494,2020-04-23 09:00:00,134
1495,2020-04-23 09:30:00,170
1496,2020-04-23 10:00:00,404
1497,2020-04-23 10:30:00,359
1498,2020-04-23 11:00:00,211
1499,2020-04-23 11:30:00,499
1500,2020-04-23 12:00:00,467
1501,2020-04-23 12:30:00,454
1502,2020-04-23 13:00:00,222
1503,2020-04-23 13:30:00,258
1504,2020-04-23 14:00:00,307
1505,2020-04-23 14:30:00,359
1506,2020-04-23 15:00:00,526
1507,2020-04-23 15:30:00,281
1508,2020-04-23 16:00:00,313
1509,2020-04-23 16:30:00,515
1510,2020-04-23 17:00:00,393
1511,2020-04-23 17:30:00,448
1512,2020-04-23 18:00:00,526
1513,2020-04-23 18:30:00,330
